CUE Anexo|Ed. Común|Ed. Especial|Ed. Adultos|Ed. Artística|Ed. Hospitalaria Domiciliaria|Ed. Intercultural Bilingüe|Ed. Contexto de Encierro
060000100|X||||||
060000200|X||||||
060000300|X||||||
060000400|X||||||
060000600|X|||X|||
060000700|X||||||
060000900|X||||||
060001000|X||||||
060001200|X||||||
060001300|X||||||
060001400|X||||||
060001500|X||||||
060001600|X||||||
060001700|X||||||
060001800|X||||||
060001900|||X||||
060002000|X||||||
060002100|||X||||
060002101|||X||||
060002102|||X||||
060002103|||X||||
060002104|||X||||
060002200|X||||||
060002300|X||||||
060002400|X||||||
060002500|X||||||
060002600|||X||||
060002601|||X||||
060002602|||X||||
060002700|X||||||
060002800|X||||||
060002900|X||||||
060003000|X||X||||
060003200|X||||||
060003300|X||||||
060003400|X||||||
060003500|X||||||
060003700|X||||||
060003800|X||||||
060003900|X||||||
060004000|X||||||
060004100|X||||||
060004200|X||||||
060004300|X||||||
060004500|X||||||
060004600|X||||||
060004700|X||||||
060004800|X||||||
060005000|X||||||
060005100|X||||||
060005300|X||||||
060005700|X||||||
060005800|X||||||
060005900|X||||||
060006000|X||||||
060006100|X||||||
060006200|X||||||
060006300|X||||||
060006400|X||||||
060006500|X||||||
060006600|X||||||
060006700|X||||||
060006800|X||||||
060006900|X||||||
060007000|X||||||
060007100|X||||||
060007200|X||||||
060007500|X||||||
060007600|X||||||
060007700|X||||||
060007800|X||||||
060007900|X||||||
060008000|X||||||
060008100|||X||||
060008200|X||||||
060008300|X||||||
060008400|X||||||
060008500|X||||||
060008700|X||||||
060008800|X||||||
060008900|X||||||
060009000|X||||||
060009100|X||||||
060009200|X||||||
060009600|X||||||
060009700|X||||||
060009800|X||||||
060009900|X||||||
060010200|X||||||
060010300|X||||||
060010400|X||||||
060010500|X||||||
060010600|X||||||
060010800|X||||||
060010900|X||||||
060011000|X||X||||
060011100|X||||||
060011200|X||||||
060011300|X||||||
060011400|X||||||
060011600|X||||||
060011700|X||||||
060011800|X||||||
060011900|||X||||
060012000|X||||||
060012100|X||||||
060012200||X|||||
060012300|X||||||
060012500|X||||||
060012600|X||||||
060012700|X||||||
060012800|X||||||
060012900|X||||||
060013000|X||||||
060013100|X||||||
060013200|X||||||
060013300|X||||||
060013400|X||X||||
060013500|X||||||
060013600|X||||||
060013700|X||||||
060013800|X||||||
060013900|X||||||
060014000|X||||||
060014100|X||||||
060014200|X||||||
060014300|X||||||
